Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1997-98,NYK*,NBA,82,43,39,0.524,2.46,0.28,2.74,88.2,103,100.3,0.476,14.7,29.5,0.218,0.455,14.7,26,0.282
1997-98,ORL,NBA,82,41,41,0.5,-1.07,0.54,-0.53,87.1,102.6,103.8,0.452,14.5,34.2,0.24,0.478,14.8,33.1,0.202
1997-98,PHI,NBA,82,31,51,0.378,-2.39,0.5,-1.89,90.4,102.8,105.4,0.462,15.4,32.5,0.271,0.481,15.1,32.7,0.256
1997-98,PHO*,NBA,82,56,26,0.683,5.18,-0.75,4.44,91.4,107.4,101.8,0.5,14,29.7,0.217,0.471,15.3,30,0.227
1997-98,POR*,NBA,82,46,36,0.561,1.4,-0.57,0.83,90,104,102.4,0.476,15.8,33,0.256,0.46,13.4,28.6,0.249
1997-98,SAC,NBA,82,27,55,0.329,-5.59,-0.25,-5.83,92.1,100.8,106.9,0.464,14.3,30.2,0.215,0.482,14,33.4,0.23
1997-98,SAS*,NBA,82,56,26,0.683,3.99,-0.69,3.3,88.4,103.8,99.4,0.493,15.6,30.6,0.241,0.437,12.2,27.8,0.218
1997-98,SEA*,NBA,82,61,21,0.744,7.17,-0.84,6.33,89.8,111.6,103.6,0.521,13.4,28.7,0.236,0.478,15.9,33.9,0.223
1997-98,TOR,NBA,82,16,66,0.195,-9.27,0.94,-8.33,92.6,101.2,111,0.462,15.1,32.1,0.217,0.508,14.9,37.1,0.235
1997-98,UTA*,NBA,82,62,20,0.756,6.54,-0.81,5.73,89.2,112.7,105.4,0.51,14.8,32.3,0.334,0.471,13.5,29,0.271
1997-98,VAN,NBA,82,19,63,0.232,-7.3,-0.17,-7.47,92.1,104.1,112,0.482,15.8,31.5,0.242,0.507,13,33.1,0.24
1997-98,WAS,NBA,82,42,40,0.512,0.59,0.53,1.11,91.8,105.2,104.5,0.476,13,31.2,0.219,0.481,15.1,30.5,0.248
1998-99,ATL*,NBA,50,31,19,0.62,2.9,-0.08,2.82,85.3,100.5,97.1,0.436,14.5,33.1,0.277,0.437,13.4,27.9,0.202
1998-99,BOS,NBA,50,19,31,0.38,-1.86,0.11,-1.75,91.5,100.4,102.4,0.469,14.8,30.6,0.179,0.465,15.6,30.6,0.287
1998-99,CHH,NBA,50,26,24,0.52,-0.1,0.73,0.63,89.7,102.3,102.4,0.485,15.5,24.4,0.278,0.461,14.3,30.5,0.24
1998-99,CHI,NBA,50,13,37,0.26,-9.46,0.88,-8.58,88.1,92.4,103,0.424,15.1,26.8,0.219,0.483,15.3,28.3,0.241
1998-99,CLE,NBA,50,22,28,0.44,-1.72,0.78,-0.94,86.4,99.6,101.6,0.464,15.9,25.1,0.285,0.468,16.2,31,0.267
